Abilene Christian University,Abilene Christian,,Wildcats,Southland
United States Air Force Academy,Air Force,AirForce,Falcons,Mountain West
University of Akron,Akron,Akron,Zips,MAC
University of Alabama,Alabama,Alabama,Crimson Tide,SEC
Alabama Agricultural and Mechanical University,Alabama A & M,AlabamaAM,Bulldogs,SWAC
Alabama State University,Alabama State,AlabamaSt,Hornets,SWAC
"University at Albany, SUNY",Albany,Albany,Great Danes,America East
Alcorn State University,Alcorn State,AlcornSt,Braves,SWAC
American University,American,American,Eagles,Patriot League
Appalachian State University,Appalachian State,AppalachianSt,Mountaineers,Sun Belt
University of Arizona,Arizona,Arizona,Wildcats,Pac-12
Arizona State University,Arizona State,ArizonaSt,Sun Devils,Pac-12
University of Arkansas,Arkansas,Arkansas,Razorbacks,SEC
University of Arkansas at Little Rock,Arkansas Little Rock,ARLittleRock,Trojans,Sun Belt
University of Arkansas at Pine Bluff,Arkansas-Pine Bluff,ARPineBluff,Golden Lions,SWAC
Arkansas State University,Arkansas State,ArkansasSt,Red Wolves,Sun Belt
United States Military Academy,Army,Army,Black Knights,Patriot League
Auburn University,Auburn,Auburn,Tigers,SEC
Austin Peay State University,Austin Peay,AustinPeay,Governors,Ohio Valley
Ball State University,Ball State,BallSt,Cardinals,MAC
Baylor University,Baylor,Baylor,Bears,Big 12
Boston College,BC,BostonColl,Eagles,ACC
Belmont University,Belmont,Belmont,Bruins,Ohio Valley
Bethune-Cookman University,Bethune Cookman,BethuneCookman,Wildcats,MEAC
Binghamton University,Binghamton,Binghamton,Bearcats,America East
Boise State University,Boise State,BoiseSt,Broncos,Mountain West
Boston University,BU,BostonU,Terriers,Patriot League
Bowling Green State University,Bowling Green,BowlingGreen,Falcons,MAC
Bradley University,Bradley,Bradley,Braves,Missouri Valley
Brown University,Brown,Brown,Bears,Ivy League
Bryant University,Bryant,Bryant,Bulldogs,Northeast
Bucknell University,Bucknell,Bucknell,Bison,Patriot League
University at Buffalo,Buffalo,Buffalo,Bulls,MAC
Butler University,Butler,Butler,Bulldogs,Big East
Brigham Young University,BYU,BrighamYoung,Cougars,West Coast
"University of California, Berkeley",California,Cal,Golden Bears,Pac-12
California Polytechnic State University,Cal Poly,CalPoly,Mustangs,Big West
"California State University, Bakersfield",Cal State Bakersfield,CSUBakersfield,Roadrunners,WAC
"California State University, Fullerton",Cal State Fullerton,CSUFullerton,Titans,Big West
"California State University, Northridge",Cal State Northridge,CSUNorthridge,Matadors,Big West
